SNP	A1	A2	FRQ	BETA	SE	P	N	study	ci.lb	ci.ub	I^2	Het P
rs75512885	a	t	0.0651461000689826	0.0301576	0.10333	0.770477	746	EFSOCH	-0.1723692	0.2326844	42.4	0.108
rs75512885	a	t	0.0835	-0.1646	0.1487	0.26817	138	GDAffy	-0.456052	0.126852	42.4	0.108
rs75512885	a	t	0.0726	-0.3673	0.1725	0.033239	103	GDIllum	-0.7054	-0.0292000000000001	42.4	0.108
rs75512885	a	t	0.0906	-0.3956	0.1419	0.0053011	132	GSAV2	-0.673724	-0.117476	42.4	0.108
rs75512885	a	t	0.0795	-0.0797	0.034	0.019	5915	HUNT	-0.14634	-0.01306	42.4	0.108
rs75512885	a	t	0.0755	-0.0802	0.0147	4.958e-08	31714	Meta	-0.109012	-0.051388	42.4	0.108
rs75512885	a	t	0.0755	-0.0802	0.0147	4.958e-08	31714	MoBa	-0.109012	-0.051388	42.4	0.108
rs75512885	a	t	0.0745	-0.0731	0.0169	1.5e-05	24431	RaineStudy	-0.106224	-0.039976	42.4	0.108
rs2207099	a	g	0.456195456535487	0.0416453	0.00978393	2.1e-05	20557	DBDS	0.0224687972	0.0608218028	0	0.640
rs2207099	a	g	0.449842493297587	0.0426011	0.0515064	0.408446	746	EFSOCH	-0.058351444	0.143553644	0	0.640
rs2207099	a	g	0.4636	-0.0119	0.0828	0.8857	138	GDAffy	-0.174188	0.150388	0	0.640
rs2207099	a	g	0.4466	-0.0857	0.0872	0.32613	103	GDIllum	-0.256612	0.085212	0	0.640
rs2207099	a	g	0.4666	0.0588	0.0844	0.48566	132	GSAV2	-0.106624	0.224224	0	0.640
rs2207099	a	g	0.4481	0.0143	0.0183	0.44	5915	HUNT	-0.021568	0.050168	0	0.640
rs2207099	a	g	0.4484	0.0375	0.0061	8.771e-10	52271	Meta	0.025544	0.049456	0	0.640
rs2207099	a	g	0.4484	0.0375	0.0061	8.771e-10	52271	MoBa	0.025544	0.049456	0	0.640
rs2207099	a	g	0.4412	0.0419	0.009	3.7e-06	24431	RaineStudy	0.02426	0.05954	0	0.640
